food,protein
쉬림프 깐풍 피자(L),31.7
치폴레 스테이크 피자(L),31.78
골드 고구마 피자(L),31.9
대구포,31.97
슈퍼디럭스(오리지널 L),32.0
깐풍 피자 바이트(L),32.24
쇠고기 샤브샤브,32.27
피넛버터브레드,32.6
2019 곡물 팥빙수,32.7
쇠불고기,32.82
굴짬뽕,32.87
골드 포테이토 피자(L),32.91
등심돈가스,32.99
웨지포테이토 소보로 L,33.0
하와이안피자,33.08
골드 맵신피자(L),33.11
골드 콤비네이션 피자(L),33.12
몬스터 이탈리안 피자(L),33.17
쇠고기볶음,33.24
안심돈가스,33.28
감자탕,33.43
꿩불고기,33.5
삼선자장면,33.64
등심돈까스,33.75
베이컨포테이토피자,33.81
제주흑도새기 노엣지 R,34.0
생선물회,34.3
닭날개튀김,34.34
불고기,34.4
장어탕,34.53
청양페파로니피자,34.6
조기구이,34.8
막국수,34.81
내장탕,34.9
스파이시쉬림프 크러스트 L,35.0
고르곤졸라피자,35.01
조기매운탕,35.1
부대찌개,35.16
하와이안 쉬림프 피자(L),35.29
페파로니,35.32
후라이드치킨,35.47
양념치킨,35.5
닭볶음탕,35.74
골드 깐풍 피자(L),35.9
옥수수 버터구이(6개),36.0
쇠고기사태찜,36.3
골드 이탈리안 치즈 피자(L),36.46
미트볼 토마토 스파게티,36.7
생선모듬초밥,36.71
콜드프리미엄불고기 XL,37.0
가자미조림,37.1
모듬회덮밥,37.32
클래식치즈피자,37.38
가자미구이,37.4
울면,37.46
간장양념닭다리튀김,37.71
아구탕,37.8
기스면,37.82
시저치킨랩,38.0
돼지고기채소볶음,38.12
해물볶음,38.2
초콜릿브레드,38.4
치킨텐더 8조각,39.0
치킨텐더 6조각,39.03
하와이안 쉬림프 피자 바이트(L),39.1
골드 쉬림프 깐풍 피자(L),39.19
오징어무침,39.45
